City,Year,Shell,Volume,Mileage,Transmission,Rudder,Gear,CustomsCleared,Type Engine,Company,Model,Price
Уральск,2014,внедорожник,1.7,31000,механика,слева,полный привод,Да,бензин,Chevrolet,Niva,2900000
Нур-Султан (Астана),2014,седан,3.5,59800,автомат,слева,передний привод,Да,бензин,Kia,Cadenza,8600000
Тараз,1995,фургон,2.3,450650,механика,слева,задний привод,Да,дизель,Volkswagen,LT,1100000
Алматы,2018,седан,2.5,48000,типтроник,слева,передний привод,Да,бензин,Toyota,Camry,11300000
Караганда,1997,внедорожник,3.5,153000,автомат,справа,полный привод,Нет,бензин,Mitsubishi,Pajero,3350000
Актобе,2007,внедорожник,5.4,170000,автомат,слева,полный привод,Да,газ-бензин,Lincoln,Navigator,8500000
Нур-Султан (Астана),1995,седан,2.3,1111,автомат,слева,задний привод,Да,газ-бензин,Mercedes-Benz, 1995,2000000
Атырау,2007,седан,3.5,140000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,5450000
Петропавловск,2011,кроссовер,3.5,161000,автомат,слева,полный привод,Нет,бензин,Toyota,Highlander,8200000
Шымкент,2014,седан,1.6,115000,автомат,слева,передний привод,Да,бензин,Hyundai,Elantra,5500000
Атырау,2013,хэтчбек,1.6,119000,механика,слева,передний привод,Нет,бензин,Hyundai,Accent,2500000
Актау,2007,пикап,4.0,230000,автомат,слева,полный привод,Да,газ-бензин,Toyota,Tacoma,10500000
Нур-Султан (Астана),1996,седан,1.6,222222,механика,слева,передний привод,Да,бензин,Opel,Vectra,1300000
Нур-Султан (Астана),1991,седан,1.8,245678,механика,слева,передний привод,Да,бензин,Volkswagen,Golf,800000
Шымкент,1993,седан,2.0,400000,механика,слева,задний привод,Да,бензин,Mercedes-Benz,E 200,1400000
Уральск,2018,седан,2.5,58000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,11250000
Алматы,2009,седан,1.5,253000,механика,слева,передний привод,Да,бензин,Hyundai,Accent,2300000
Нур-Султан (Астана),1993,универсал,2.0,300000,механика,слева,передний привод,Да,бензин,Volkswagen,Passat,1250000
Алматы,2011,седан,1.8,121920,автомат,слева,передний привод,Да,бензин,Toyota,Corolla,5500000
Атырау,2003,внедорожник,4.7,185074,автомат,слева,полный привод,Нет,газ-бензин,Toyota,Sequoia,5900000
Нур-Султан (Астана),2011,хэтчбек,1.6,260000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2113 (хэтчбек),1000000
Шымкент,1993,седан,2.5,195000,механика,слева,задний привод,Да,бензин,BMW,525,2100000
Нур-Султан (Астана),1995,седан,1.6,24000,механика,слева,передний привод,Да,бензин,Toyota,Corolla,1000000
Тараз,1997,купе,4.3,1234984,автомат,слева,задний привод,Да,бензин,Ford,Mustang,1300000
Нур-Султан (Астана),2018,универсал,2.5,23000,вариатор,слева,полный привод,Да,бензин,Subaru,Outback,15500000
Текели,2015,хэтчбек,1.6,190,механика,слева,передний привод,Да,бензин,Renault,Sandero Stepway,3650000
